Cues	Outcomes
#l_la_as_ss_s#	lass
#h_ha_an_nd_ds_s#	hand_plural
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#s_sa_ad_d#	sad
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#a_as_s#	as
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#s_sa_ad_d#	sad
#l_la_as_ss_s#	lass
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad
#l_la_an_nd_d#	land
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_an_nd_d#	land
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#a_an_nd_d#	and
#l_la_ad_d#	lad_plural
#l_la_an_nd_ds_s#	land_plural
#a_as_s#	as
#l_la_as_ss_s#	lass
#s_sa_ad_d#	sad
#a_as_s#	as
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#s_sa_ad_d#	sad
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#s_sa_ad_d#	sad
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#l_la_an_nd_d#	land
#s_sa_ad_d#	sad
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_an_nd_d#	land
#h_ha_an_nd_d#	hand
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#h_ha_an_nd_d#	hand
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#s_sa_ad_d#	sad
#l_la_ad_d#	lad
#a_as_s#	as
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#a_as_s#	as
#a_as_s#	as
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#a_as_s#	as
#s_sa_ad_d#	sad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_an_nd_d#	land
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#h_ha_an_nd_ds_s#	hand_plural
#h_ha_an_nd_d#	hand
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#a_an_nd_d#	and
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#a_as_s#	as
#l_la_ad_d#	lad_plural
#s_sa_ad_d#	sad
#l_la_as_ss_s#	lass
#h_ha_an_nd_d#	hand
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#a_as_s#	as
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#a_an_nd_d#	and
#l_la_ad_d#	lad
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_an_nd_d#	land
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#a_as_s#	as
#s_sa_ad_d#	sad
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#a_as_s#	as
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#a_as_s#	as
#h_ha_an_nd_ds_s#	hand_plural
#l_la_ad_d#	lad
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#h_ha_an_nd_d#	hand
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#a_as_s#	as
#l_la_ad_d#	lad_plural
#a_as_s#	as
#l_la_ad_d#	lad
#s_sa_ad_d#	sad
#h_ha_an_nd_ds_s#	hand_plural
#l_la_as_ss_s#	lass
#a_as_s#	as
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#a_as_s#	as
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#s_sa_ad_d#	sad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#a_as_s#	as
#a_an_nd_d#	and
#a_an_nd_d#	and
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#a_as_s#	as
#a_an_nd_d#	and
#a_as_s#	as
#a_as_s#	as
#s_sa_ad_d#	sad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad_plural
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#s_sa_ad_d#	sad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_ad_d#	lad_plural
#a_as_s#	as
#a_as_s#	as
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad_plural
#s_sa_ad_d#	sad
#l_la_ad_d#	lad_plural
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#a_as_s#	as
#l_la_ad_d#	lad_plural
#l_la_as_ss_s#	lass
#h_ha_an_nd_d#	hand
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#h_ha_an_nd_ds_s#	hand_plural
#l_la_ad_d#	lad
#a_an_nd_d#	and
#l_la_as_ss_s#	lass
#l_la_as_ss_s#	lass
#l_la_ad_d#	lad
#l_la_as_ss_s#	lass
#a_an_nd_d#	and
#l_la_ad_d#	lad_plural
